,Substrate,Formula_S,C_Sn,H_Sn,O_Sn,MW_S,N_electrons,ParametersType,CellVoltage,CurrentDensity,FaradaicEfficiency,EnergyEfficiency,ByProducts,ByP_FE,Xco2,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,PlantLife,StreamFactor,ScalingFactor,ElectrodeArea,I,Power,kWh,emol_curr,MaxProductionRate,ActualProductionRate,ActualProductionRate_mass,CO2rate_fed,CO2rate_conv,Cost_elec_h,Cost_CO2_h,Cost_electrolyzer_h,CT_savings_h,ProductionCost_hNOCT,ProductionCost_h,Cost_elec_mol,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass,BioProduct,Formula_BP,MW_BP,Deg_RedBP,BoilP_degC,SubstratePathway,CO2_BProd_mass,YieldBP_Molar,YieldBP_Mass,Bioconversion,BioproductionCost_massNOCT,BioproductionCost_mass1,CO2_OverallCons_mass,CT_OverallSavings_mass,BioproductionCost_mass2
0,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Ideal-Best,2,500,90.0,30,FormicAcid/CO,10.0,0.23,0.025,55,170,60,1500,20,0.95,1,37775.40246338649,188877012.31693244,377754024.6338649,377754.0246338649,1957.5722717637268,704726.0178349416,634253.4160514475,27.939979263078513,118.89080283884385,71.33448170330631,9443.850615846623,6538.994156136412,340.4416227774558,12126.861889562073,16323.286394760491,4196.424505198418,0.01488971186728395,338.0049257347255,234.0371871634641,12.184748584525073,434.03260164860615,584.2268614827146,150.1942598341085,2.553132950874154,1-3-Butanediol-PW1,C4H10O2,90.1192,5.5,207,Acetaldehyde,0.27966661398215403,0.437380952380953,0.894775180919208,90,725.4793953226886,186.50775578659633,2.890754795053682,491.42831515912593,234.05108016356263
1,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Ideal-Best,2,500,90.0,30,FormicAcid/CO,10.0,0.23,0.025,55,170,60,1500,20,0.95,1,37143.61417652642,185718070.8826321,371436141.7652642,371436.1417652642,1924.832151173851,692939.5744225864,623645.6169803278,27.472687044269325,116.90237090296242,70.14142254177744,9285.903544131606,6429.630399662933,334.74778457576076,11924.041832102166,16050.2817283703,4126.2398962681345,0.01488971186728395,338.0049257347255,234.037187163464,12.184748584525066,434.032601648606,584.2268614827144,150.19425983410844,2.5531329508741525,1-3-Butanediol-PW2,C4H10O2,90.1192,5.5,207,Acetaldehyde,0.242318675012557,0.444820512820513,0.909994714376324,90,713.3458545942354,183.38843983413918,2.875077882399774,488.76324000796154,224.5826145862739
2,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Ideal-Best,2,500,90.0,30,FormicAcid/CO,10.0,0.23,0.025,55,170,60,1500,20,0.95,1,39388.40408318932,196942020.4159466,393884040.8318932,393884.0408318932,2041.1601898089798,734817.6683312327,661335.9014981095,29.13301041217836,123.96741473582061,74.38044884149237,9847.10102079733,6818.207810470134,354.9784073827445,12644.676303053702,17020.28723865021,4375.610935596507,0.014889711867283951,338.0049257347255,234.03718716346404,12.184748584525073,434.03260164860603,584.2268614827146,150.1942598341086,2.553132950874153,1-3-Diaminopropane,C3H12N2,76.13958000000001,6.0,139.3,Acetaldehyde,0.594379323503744,0.496486486486487,0.858133081555806,90,756.4572106066761,194.47159713762258,2.7114184027848056,460.94112847341694,295.51608213325915
3,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Ideal-Best,2,500,90.0,30,FormicAcid/CO,10.0,0.23,0.025,55,170,60,1500,20,0.95,1,38302.02302280044,191510115.1140022,383020230.2280044,383020.2302280044,1984.8624589655346,714550.4852275925,643095.4367048333,28.32948583481651,120.54823961032099,72.3289437661926,9575.505755700111,6630.153178567654,345.18766242610343,12295.920440252741,16550.846596693867,4254.926156441126,0.014889711867283951,338.0049257347255,234.03718716346404,12.184748584525071,434.03260164860603,584.2268614827144,150.19425983410838,2.553132950874153,1-3-Propanediol,C3H8O2,76.09282,5.333333333333333,213,Acetaldehyde,0.529092698107581,0.510882352941177,0.882472775742205,90,735.5931820752828,189.10782917516102,2.6855270248343115,456.53959422183294,279.05358785344987
4,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Ideal-Best,2,500,90.0,30,FormicAcid/CO,10.0,0.23,0.025,55,170,60,1500,20,0.95,1,40901.34627279336,204506731.3639668,409013462.7279336,409013.4627279336,2119.562893314812,763042.6415933323,686738.3774339991,30.252034185511945,128.72910885000312,77.23746531000187,10225.336568198341,7080.100986750172,368.6134307209207,13130.369102700317,17674.050985669433,4543.6818829691165,0.014889711867283951,338.0049257347255,234.03718716346404,12.184748584525071,434.032601648606,584.2268614827145,150.19425983410855,2.553132950874153,1-4-Butanediol,C4H10O2,90.1192,5.5,230,Acetaldehyde,0.4644556660178377,0.403953488372093,0.826390709685658,90,785.5133771408636,201.94141702084954,2.968320569982245,504.6144968969816,280.89888024388193
5,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Ideal-Best,2,500,90.0,30,FormicAcid/CO,10.0,0.23,0.025,55,170,60,1500,20,0.95,1,53381.73179564072,266908658.97820362,533817317.95640725,533817.3179564072,2766.313292973088,995872.7854703116,896285.5069232805,39.482954042462694,168.00871827276893,100.80523096366136,13345.43294891018,9240.479505002291,481.08986838176565,17136.88926382243,23067.002322294236,5930.113058471805,0.01488971186728395,338.0049257347255,234.03718716346404,12.184748584525071,434.03260164860603,584.2268614827144,150.19425983410838,2.5531329508741534,1-Propanol-PW1,C3H8O,60.09382,6.0,97,Acetaldehyde,0.9585774893353097,0.464155844155844,0.633184638948577,90,1025.200103213077,263.5605803765245,3.5216549979385285,598.6813496495498,426.5187535635272
6,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Ideal-Best,2,500,90.0,30,FormicAcid/CO,10.0,0.23,0.025,55,170,60,1500,20,0.95,1,57323.96942430738,286619847.1215369,573239694.2430738,573239.6942430738,2970.605360491397,1069417.9297769028,962476.1367992124,42.398767784006075,180.41615184301241,108.24969110580744,14330.992356076846,9922.888351365682,516.6183257417753,18402.447487987265,24770.499033184304,6368.051545197039,0.014889711867283951,338.0049257347255,234.0371871634641,12.184748584525073,434.03260164860615,584.2268614827146,150.1942598341085,2.553132950874154,1-Propanol-PW2,C3H8O,60.09382,6.0,97,Acetaldehyde,1.1916214590024865,0.432235294117647,0.589639777442557,90,1100.9110681415245,283.0245131198683,3.619475923477844,615.3109069912334,485.6001611502911
7,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Ideal-Best,2,500,90.0,30,FormicAcid/CO,10.0,0.23,0.025,55,170,60,1500,20,0.95,1,38674.81680775284,193374084.0387642,386748168.0775284,386748.1680775284,2004.1811353771493,721505.2087357737,649354.6878621964,28.605216864580388,121.72153623976871,73.03292174386122,9668.704201938212,6694.684493187279,348.54737570072854,12415.596696456409,16711.936070826217,4296.339374369809,0.014889711867283953,338.00492573472553,234.0371871634641,12.184748584525071,434.03260164860615,584.2268614827145,150.19425983410838,2.5531329508741534,2-3-Butanediol,C4H10O2,90.1192,5.5,177,Acetaldehyde,0.3328351717734393,0.427209302325582,0.873966455781552,90,742.7527142589429,190.94841663865802,2.9130724612870598,495.22231841880017,247.53039584014272
8,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Ideal-Best,2,500,90.0,30,FormicAcid/CO,10.0,0.23,0.025,55,170,60,1500,20,0.95,1,61609.32822633507,308046641.13167536,616093282.2633507,616093.2822633507,3192.6784296940054,1149364.234689842,1034427.8112208578,45.56836567722654,193.90349321334978,116.34209592800987,15402.332056583768,10664.692126734237,555.2390791847068,19778.156307761677,26622.26326250271,6844.106954741033,0.01488971186728395,338.0049257347255,234.037187163464,12.184748584525071,434.03260164860603,584.2268614827144,150.19425983410838,2.553132950874153,2-Methyl-1-Butanol,C5H12O,88.14658,6.0,129,Acetaldehyde,1.1456034806045592,0.274179104477612,0.548626215324069,90,1183.2117005556759,304.18253132182343,4.025156338418101,684.2765775310771,498.93512302459874
9,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Ideal-Best,2,500,90.0,30,FormicAcid/CO,10.0,0.23,0.025,55,170,60,1500,20,0.95,1,26412.086827161915,132060434.13580957,264120868.27161914,264120.86827161914,1368.709939288706,492735.57814393414,443462.0203295407,19.53528248867205,83.12695571077239,49.87617342646343,6603.021706790479,4571.982564092482,238.03250565214418,8478.949482498783,11413.036776535104,2934.0872940363206,0.01488971186728395,338.0049257347255,234.03718716346404,12.184748584525073,434.032601648606,584.2268614827144,150.19425983410844,2.553132950874153,2-Pyrone-4-6-Dicarboxylate,C7H2O6,182.08458000000002,2.5714285714285716,355.5,Acetaldehyde,-0.13056495501858614,0.309606741573034,1.27973578137387,90,507.24607895711557,130.40387973494745,2.3472837739725163,399.0382415753278,108.20783738178778
