, Substrate , ParametersType , ElectricityPrice , CO2Price , CarbonTax , Conversion , ElectrolyzerPrice , CellVoltage , CurrentDensity , FaradaicEfficiency , ElectrodeArea , I , kWh , ActualProductionRate_mass , CO2rate_fed , Cost_elec_mass , Cost_CO2_mass , Cost_electrolyzer_mass , CT_savings_mass , ProductionCost_massNOCT , ProductionCost_mass , CO2_ECons_mass , BioProduct , SubstratePathway , YieldBP_Molar , YieldBP_Mass , BioproductionCost_massNOCT , BioproductionCost_mass1 , CO2_OverallCons_mass , BioproductionCost_mass2 
 -   , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 37,775 "," 188,877,012 "," 377,754 ", 28 , 119 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 1-3-Butanediol-PW1 , Acetaldehyde , 0 , 1 , 725 , 187 , 3 , 234 
 1 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 37,144 "," 185,718,071 "," 371,436 ", 27 , 117 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 1-3-Butanediol-PW2 , Acetaldehyde , 0 , 1 , 713 , 183 , 3 , 225 
 2 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 39,388 "," 196,942,020 "," 393,884 ", 29 , 124 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 1-3-Diaminopropane , Acetaldehyde , 0 , 1 , 756 , 194 , 3 , 296 
 3 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 38,302 "," 191,510,115 "," 383,020 ", 28 , 121 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 1-3-Propanediol , Acetaldehyde , 1 , 1 , 736 , 189 , 3 , 279 
 4 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 40,901 "," 204,506,731 "," 409,013 ", 30 , 129 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 1-4-Butanediol , Acetaldehyde , 0 , 1 , 786 , 202 , 3 , 281 
 5 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 53,382 "," 266,908,659 "," 533,817 ", 39 , 168 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 1-Propanol-PW1 , Acetaldehyde , 0 , 1 ," 1,025 ", 264 , 4 , 427 
 6 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 57,324 "," 286,619,847 "," 573,240 ", 42 , 180 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 1-Propanol-PW2 , Acetaldehyde , 0 , 1 ," 1,101 ", 283 , 4 , 486 
 7 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 38,675 "," 193,374,084 "," 386,748 ", 29 , 122 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 2-3-Butanediol , Acetaldehyde , 0 , 1 , 743 , 191 , 3 , 248 
 8 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 61,609 "," 308,046,641 "," 616,093 ", 46 , 194 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 2-Methyl-1-Butanol , Acetaldehyde , 0 , 1 ," 1,183 ", 304 , 4 , 499 
 9 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 26,412 "," 132,060,434 "," 264,121 ", 20 , 83 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 2-Pyrone-4-6-Dicarboxylate , Acetaldehyde , 0 , 1 , 507 , 130 , 2 , 108 
 10 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 63,465 "," 317,322,709 "," 634,645 ", 47 , 200 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 3-Methyl-1-Pentanol , Acetaldehyde , 0 , 1 ," 1,219 ", 313 , 4 , 512 
 11 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 63,640 "," 318,198,578 "," 636,397 ", 47 , 200 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 4-Hydroxystyrene , Acetaldehyde , 0 , 1 ," 1,222 ", 314 , 5 , 456 
 12 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 44,283 "," 221,414,182 "," 442,828 ", 33 , 139 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , 5-Aminopentanoate , Acetaldehyde , 0 , 1 , 850 , 219 , 3 , 344 
 13 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 44,646 "," 223,231,007 "," 446,462 ", 33 , 141 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , Acetone , Acetaldehyde , 1 , 1 , 857 , 220 , 3 , 283 
 14 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 37,074 "," 185,372,067 "," 370,744 ", 27 , 117 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , Acrylate-PW1 , Acetaldehyde , 1 , 1 , 712 , 183 , 3 , 240 
 15 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 29,089 "," 145,445,776 "," 290,892 ", 22 , 92 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , Acrylate-PW2 , Acetaldehyde , 1 , 1 , 559 , 144 , 3 , 120 
 16 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 39,837 "," 199,182,771 "," 398,366 ", 29 , 125 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , Adipate , Acetaldehyde , 0 , 1 , 765 , 197 , 3 , 286 
 17 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 54,432 "," 272,162,433 "," 544,325 ", 40 , 171 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , Benzoate-PW1 , Acetaldehyde , 0 , 1 ," 1,045 ", 269 , 4 , 383 
 18 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 54,432 "," 272,162,433 "," 544,325 ", 40 , 171 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , Benzoate-PW2 , Acetaldehyde , 0 , 1 ," 1,045 ", 269 , 4 , 383 
 19 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 69,959 "," 349,793,011 "," 699,586 ", 52 , 220 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , BenzylAlcohol , Acetaldehyde , 0 , 0 ," 1,344 ", 345 , 5 , 564 
 20 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 71,532 "," 357,657,842 "," 715,316 ", 53 , 225 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , BetaCarotene , Acetaldehyde , 0 , 0 ," 1,374 ", 353 , 5 , 515 
 21 , Acetaldehyde , Ideal-Best , 0 , 55 , 170 , 60 ," 1,500 ", 2 , 500 , 90 ," 78,096 "," 390,481,620 "," 780,963 ", 58 , 246 , 338 , 234 , 12 , 434 , 584 , 150 , 3 , Butane , Acetaldehyde , 0 , 0 ," 1,500 ", 386 , 5 , 656 
