,Substrate,Formula_S,C_Sn,H_Sn,O_Sn,MW_S,N_electrons,ParametersType,CellVoltage,CurrentDensity,FaradaicEfficiency,EnergyEfficiency,ByProducts,ByP_FE,Xco2,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,PlantLife,StreamFactor,ScalingFactor,ElectrodeArea,I,Power,kWh,emol_curr,MaxProductionRate,ActualProductionRate,ActualProductionRate_mass,CO2rate_fed,CO2rate_conv,Cost_elec_h,Cost_CO2_h,Cost_electrolyzer_h,CT_savings_h,ProductionCost_hNOCT,ProductionCost_h,Cost_elec_mol,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass
0,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Worst,4,100,50,,FormicAcid/CO,50,0.35,0.08,140,30,30,4000,20,0.95,1,304204.43316125293,304204433.1612529,1216817732.6450117,1216817.7326450117,3152.856750533665,1135028.4301921194,567514.2150960597,25.0,582.7803474821437,174.8341042446431,97345.41861160094,81589.24864750012,7310.849150715043,5245.023127339293,186245.5164098161,181000.49328247682,0.1715294807111111,3893.816744464037,3263.569945900005,292.43396602860173,209.80092509357175,7449.820656392643,7240.019731299071,6.993364169785724
1,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Base,3,300,70,,FormicAcid/CO,30,0.29,0.05,100,100,50,2000,20,0.95,1,72429.62694315545,217288880.82946637,651866642.4883991,651866.6424883992,2252.040536095475,810734.5929943711,567514.2150960597,25.0,206.94649073855717,103.47324536927859,32593.33212441996,20694.64907385572,870.3391846089335,10347.32453692786,54158.320382884616,43810.99584595676,0.05743174577380953,1303.7332849767984,827.7859629542288,34.81356738435734,413.8929814771144,2166.332815315385,1752.4398338382703,4.138929814771143
2,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Best,2,1000,90,,FormicAcid/CO,10,0.23,0.025,55,170,70,1000,20,0.95,1,16900.24628673627,169002462.8673627,338004925.7347254,338004.92573472543,1751.5870836298138,630571.350106733,567514.2150960597,25.0,91.18331967407688,63.82832377185382,8450.123143368137,5015.082582074228,101.5395715377089,10850.815041215148,13566.745296980074,2715.930255764926,0.014889711867283951,338.0049257347255,200.60330328296914,4.061582861508356,434.03260164860586,542.6698118792029,108.63721023059708,2.5531329508741525
3,Acetaldehyde,C2H4O,2,4,1,44.05176,10,ElectricityPrice_Worst,3,300,70,,FormicAcid/CO,30,0.29,0.08,100,100,50,2000,20,0.95,1,72429.62694315545,217288880.82946637,651866642.4883991,651866.6424883992,2252.040536095475,810734.5929943711,567514.2150960597,25.0,206.94649073855717,103.47324536927859,52149.33139907193,20694.64907385572,870.3391846089335,10347.32453692786,73714.31965753659,63366.99512060873,0.09189079323809524,2085.9732559628774,827.7859629542288,34.81356738435734,413.8929814771144,2948.5727863014636,2534.679804824349,4.138929814771143
4,Acetaldehyde,C2H4O,2,4,1,44.05176,10,CO2Price_Worst,3,300,70,,FormicAcid/CO,30,0.29,0.05,140,100,50,2000,20,0.95,1,72429.62694315545,217288880.82946637,651866642.4883991,651866.6424883992,2252.040536095475,810734.5929943711,567514.2150960597,25.0,206.94649073855717,103.47324536927859,32593.33212441996,28972.508703398005,870.3391846089335,10347.32453692786,62436.18001242691,52088.85547549905,0.05743174577380953,1303.7332849767984,1158.90034813592,34.81356738435734,413.8929814771144,2497.447200497076,2083.5542190199617,4.138929814771143
5,Acetaldehyde,C2H4O,2,4,1,44.05176,10,CarbonTax_Worst,3,300,70,,FormicAcid/CO,30,0.29,0.05,100,30,50,2000,20,0.95,1,72429.62694315545,217288880.82946637,651866642.4883991,651866.6424883992,2252.040536095475,810734.5929943711,567514.2150960597,25.0,206.94649073855717,103.47324536927859,32593.33212441996,20694.64907385572,870.3391846089335,3104.1973610783575,54158.320382884616,51054.123021806256,0.05743174577380953,1303.7332849767984,827.7859629542288,34.81356738435734,124.16789444313429,2166.332815315385,2042.1649208722506,4.138929814771143
6,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Conversion_Worst,3,300,70,,FormicAcid/CO,30,0.29,0.05,100,100,30,2000,20,0.95,1,72429.62694315545,217288880.82946637,651866642.4883991,651866.6424883992,2252.040536095475,810734.5929943711,567514.2150960597,25.0,344.9108178975953,103.47324536927859,32593.33212441996,34491.081789759526,870.3391846089335,10347.32453692786,67954.75309878842,57607.428561860565,0.05743174577380953,1303.7332849767984,1379.6432715903811,34.81356738435734,413.8929814771144,2718.190123951537,2304.2971424744223,4.138929814771143
7,Acetaldehyde,C2H4O,2,4,1,44.05176,10,ElectrolyzerPrice_Worst,3,300,70,,FormicAcid/CO,30,0.29,0.05,100,100,50,4000,20,0.95,1,72429.62694315545,217288880.82946637,651866642.4883991,651866.6424883992,2252.040536095475,810734.5929943711,567514.2150960597,25.0,206.94649073855717,103.47324536927859,32593.33212441996,20694.64907385572,1740.678369217867,10347.32453692786,55028.659567493545,44681.335030565686,0.05743174577380953,1303.7332849767984,827.7859629542288,69.62713476871468,413.8929814771144,2201.1463826997415,1787.253401222627,4.138929814771143
8,Acetaldehyde,C2H4O,2,4,1,44.05176,10,FaradaicEfficiency_Worst,3,300,50,,FormicAcid/CO,50,0.35,0.05,100,100,50,2000,20,0.95,1,101401.47772041765,304204433.1612529,912613299.4837587,912613.2994837586,3152.856750533665,1135028.4301921194,567514.2150960597,25.0,349.6682084892862,174.8341042446431,45630.66497418794,34966.82084892862,1218.4748584525073,17483.41042446431,81815.96068156906,64332.550257104755,0.08040444408333333,1825.2265989675175,1398.6728339571448,48.73899433810029,699.3364169785724,3272.638427262762,2573.3020102841897,6.993364169785724
9,Acetaldehyde,C2H4O,2,4,1,44.05176,10,CurrentDensity_Worst,3,100,70,,FormicAcid/CO,30,0.29,0.05,100,100,50,2000,20,0.95,1,217288.8808294664,217288880.82946637,651866642.4883991,651866.6424883992,2252.040536095475,810734.5929943711,567514.2150960597,25.0,206.94649073855717,103.47324536927859,32593.33212441996,20694.64907385572,2611.0175538268013,10347.32453692786,55898.99875210248,45551.67421517462,0.05743174577380953,1303.7332849767984,827.7859629542288,104.44070215307205,413.8929814771144,2235.959950084099,1822.0669686069846,4.138929814771143
