,Substrate,Formula_S,C_Sn,H_Sn,O_Sn,MW_S,N_electrons,ParametersType,CellVoltage,CurrentDensity,FaradaicEfficiency,EnergyEfficiency,ByProducts,ByP_FE,Xco2,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,PlantLife,StreamFactor,ScalingFactor,ElectrodeArea,I,Power,kWh,kWh_sep,emol_curr,MaxProductionRate,ActualProductionRate,ActualProductionRate_mass,CO2rate_fed,CO2rate_conv,Cost_elec_h,Cost_elec_h_sep,Cost_CO2_h,Cost_electrolyzer_h,CT_savings_h,ProductionCost_hNOCT,ProductionCost_h,Cost_elec_mol,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass,BioProduct,Formula_BP,MW_BP,Deg_RedBP,BoilP_degC,SubstratePathway,CO2_BProd_mass,YieldBP_Molar,YieldBP_Mass,Bioconversion,BioproductionCost_massNOCT,BioproductionCost_mass1,CO2_OverallCons_mass,CT_OverallSavings_mass,BioproductionCost_mass2
0,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100,,FormicAcid/CO,0,0.2,0.0325,77.5,170,60,1812.130178,20,0.95,1,33997.86222,169989311.1,254983966.6,254983.9666,25000,1761.815045,634253.4161,634253.4161,27.93997926,93.04497613,55.82698568,8286.978915,812.5,7210.98565,370.154723,9490.587566,15868.11929,6377.531723,0.013065722,296.5993223,258.0884396,13.24821037,339.6776882,567.9359723,228.2582841,1.998104049,1-3-Butanediol-PW1,C4H10O2,90.1192,5.5,207,Acetaldehyde,0.279666614,0.437380952,0.894775181,90,705.2497462,283.4458544,2.20153275,374.2605674,330.9891787
1,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100,,FormicAcid/CO,0,0.2,0.0325,77.5,170,60,1812.130178,20,0.95,1,33429.25276,167146263.8,250719395.7,250719.3957,25000,1732.348936,623645.617,623645.617,27.47268704,91.48881201,54.89328721,8148.38036,812.5,7090.382931,363.9639374,9331.858825,15602.72723,6270.868403,0.013065722,296.5993223,258.0884396,13.24821037,339.6776882,567.9359723,228.2582841,1.998104049,1-3-Butanediol-PW2,C4H10O2,90.1192,5.5,207,Acetaldehyde,0.242318675,0.444820513,0.909994714,90,693.4545435,278.7052624,2.197382979,373.5551064,319.8994371
2,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100,,FormicAcid/CO,0,0.2,0.0325,77.5,170,60,1812.130178,20,0.95,1,35449.56367,177247818.4,265871727.6,265871.7276,6250,1837.044171,661335.9015,661335.9015,29.13301041,97.01797675,58.21078605,8640.831146,203.125,7518.893198,385.9602506,9895.833628,16545.68459,6649.850966,0.013065722,296.5993223,258.0884396,13.24821037,339.6776882,567.9359723,228.2582841,1.998104049,1-3-Diaminopropane,C3H12N2,76.13958,6,139.3,Acetaldehyde,0.594379324,0.496486486,0.858133082,90,735.3637598,295.5489318,1.992766723,338.7703429,396.5934168
3,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100,,FormicAcid/CO,0,0.2,0.0325,77.5,170,60,1812.130178,20,0.95,1,34471.82072,172359103.6,258538655.4,258538.6554,25000,1786.376213,643095.4367,643095.4367,28.32948583,94.34210056,56.60526034,8402.506301,812.5,7311.512794,375.314988,9622.894258,16089.33408,6466.439825,0.013065722,296.5993223,258.0884396,13.24821037,339.6776882,567.9359723,228.2582841,1.998104049,1-3-Propanediol,C3H8O2,76.09282,5.333333333,213,Acetaldehyde,0.529092698,0.510882353,0.882472776,90,715.0815148,287.3973255,1.98669665,337.7384305,377.3430842
4,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100,,FormicAcid/CO,0,0.2,0.0325,77.5,170,60,1812.130178,20,0.95,1,36811.21165,184056058.2,276084087.3,276084.0873,25000,1907.606604,686738.3774,686738.3774,30.25203419,100.74452,60.44671198,8972.732839,812.5,7807.700298,400.785313,10275.94104,17181.21845,6905.277412,0.013065722,296.5993223,258.0884396,13.24821037,339.6776882,567.9359723,228.2582841,1.998104049,1-4-Butanediol,C4H10O2,90.1192,5.5,230,Acetaldehyde,0.464455666,0.403953488,0.82639071,90,763.6097089,306.9012183,2.222064867,377.7510273,385.8586815
5,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100,,FormicAcid/CO,0,0.2,0.0325,77.5,170,60,1812.130178,20,0.95,1,48043.55862,240217793.1,360326689.6,360326.6896,25000,2489.681964,896285.5069,896285.5069,39.48295404,131.4850839,78.89105032,11710.61741,812.5,10190.094,523.0784812,13411.47855,22423.78989,9012.311339,0.013065722,296.5993223,258.0884396,13.24821037,339.6776882,567.9359723,228.2582841,1.998104049,1-Propanol-PW1,C3H8O,60.09382,6,97,Acetaldehyde,0.958577489,0.464155844,0.633184639,90,996.6128842,400.5471706,2.547691414,433.1075403,563.5053438
6,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100,,FormicAcid/CO,0,0.2,0.0325,77.5,170,60,1812.130178,20,0.95,1,51591.57248,257957862.4,386936793.6,386936.7936,25000,2673.544824,962476.1368,962476.1368,42.39876778,141.1952493,84.71714956,12575.44579,812.5,10942.63182,561.707795,14401.91543,24079.78541,9677.86998,0.013065722,296.5993223,258.0884396,13.24821037,339.6776882,567.9359723,228.2582841,1.998104049,1-Propanol-PW2,C3H8O,60.09382,6,97,Acetaldehyde,1.191621459,0.432235294,0.589639777,90,1070.212685,430.1275547,2.573585188,437.509482,632.7032027
7,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100,,FormicAcid/CO,0,0.2,0.0325,77.5,170,60,1812.130178,20,0.95,1,34807.33513,174036675.6,261055013.5,261055.0135,3125,1803.763022,649354.6879,649354.6879,28.60521686,95.26033271,57.15619963,8484.287937,101.5625,7382.675785,378.9679307,9716.553936,16245.93165,6529.377717,0.013065722,296.5993223,258.0884396,13.24821037,339.6776882,567.9359723,228.2582841,1.998104049,2-3-Butanediol,C4H10O2,90.1192,5.5,177,Acetaldehyde,0.332835172,0.427209302,0.873966456,90,722.0414068,290.1945652,2.207440367,375.2648624,346.7765444
8,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100,,FormicAcid/CO,0,0.2,0.0325,77.5,170,60,1812.130178,20,0.95,1,55448.3954,277241977,415862965.5,415862.9655,25000,2873.410587,1034427.811,1034427.811,45.56836568,151.7505599,91.05033594,13515.54638,812.5,11760.66839,603.6992947,15478.55711,25879.91407,10401.35696,0.013065722,296.5993223,258.0884396,13.24821037,339.6776882,567.9359723,228.2582841,1.998104049,2-Methyl-1-Butanol,C5H12O,88.14658,6,129,Acetaldehyde,1.145603481,0.274179104,0.548626215,90,1150.218403,462.2825314,2.901078117,493.1832799,657.0351231
9,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_2,1.5,500,100,,FormicAcid/CO,0,0.2,0.0325,77.5,170,60,1812.130178,20,0.95,1,23770.87814,118854390.7,178281586.1,178281.5861,25000,1231.838945,443462.0203,443462.0203,19.53528249,65.05587838,39.03352703,5794.151548,812.5,5041.830575,258.807532,6635.699595,11094.78965,4459.090059,0.013065722,296.5993223,258.0884396,13.24821037,339.6776882,567.9359723,228.2582841,1.998104049,2-Pyrone-4-6-Dicarboxylate,C7H2O6,182.08458,2.571428571,355.5,Acetaldehyde,-0.130564955,0.309606742,1.279735781,90,493.1017624,198.1817804,1.865388379,317.1160244,175.9857381
