,Substrate,ParametersType,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,CellVoltage,CurrentDensity,FaradaicEfficiency,ElectrodeArea,I,kWh,ActualProductionRate_mass,CO2rate_fed,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass,BioProduct,SubstratePathway,YieldBP_Molar,YieldBP_Mass,BioproductionCost_massNOCT,BioproductionCost_mass1,CO2_OverallCons_mass,BioproductionCost_mass2
0,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,33997.86221704784,169989311.0852392,254983.9666278588,27.939979263078513,93.04497613474734,296.5993223322216,258.0884395992351,13.24821036926912,339.67768824673516,567.9359723007258,228.25828405399062,1.9981040485102068,1-3-Butanediol-PW1,Acetaldehyde,0.437380952380953,0.894775180919208,705.249746170605,283.44585435975034,2.201532749611108,330.98917873671667
1,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,33429.25275887379,167146263.79436892,250719.3956915534,27.472687044269325,91.48881201101408,296.5993223322216,258.0884395992351,13.24821036926912,339.67768824673516,567.9359723007257,228.2582840539905,1.9981040485102066,1-3-Butanediol-PW2,Acetaldehyde,0.444820512820513,0.909994714376324,693.4545434755844,278.7052623589872,2.1973829786144847,319.899437111122
2,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,35449.56367487039,177247818.37435195,265871.7275615279,29.13301041217836,97.01797674977267,296.5993223322216,258.08843959923513,13.248210369269126,339.6776882467353,567.9359723007259,228.25828405399062,1.998104048510207,1-3-Diaminopropane,Acetaldehyde,0.496486486486487,0.858133081555806,735.3637597550083,295.5489318227056,1.9927667231568604,396.59341681834206
3,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,34471.820720520394,172359103.60260198,258538.65540390296,28.32948583481651,94.34210056459904,296.59932233222156,258.0884395992351,13.248210369269117,339.67768824673516,567.9359723007257,228.2582840539905,1.9981040485102068,1-3-Propanediol,Acetaldehyde,0.510882352941177,0.882472775742205,715.0815147722733,287.39732554609094,1.9866966502817265,377.34308422437977
4,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,36811.21164551402,184056058.22757012,276084.0873413552,30.252034185511945,100.74451996956766,296.5993223322216,258.08843959923513,13.248210369269119,339.67768824673516,567.9359723007259,228.25828405399074,1.9981040485102066,1-4-Butanediol,Acetaldehyde,0.403953488372093,0.826390709685658,763.6097088543788,306.9012183256722,2.222064866503966,385.8586815487046
5,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,48043.55861607665,240217793.08038324,360326.6896205748,39.482954042462694,131.48508386564527,296.59932233222156,258.08843959923513,13.248210369269119,339.67768824673516,567.9359723007258,228.25828405399062,1.9981040485102068,1-Propanol-PW1,Acetaldehyde,0.464155844155844,0.633184638948577,996.6128841515965,400.54717062733806,2.547691413748564,563.5053438143407
6,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,51591.57248187663,257957862.40938315,386936.7936140747,42.398767784006075,141.19524926844446,296.59932233222156,258.0884395992351,13.248210369269119,339.67768824673516,567.9359723007257,228.2582840539905,1.9981040485102066,1-Propanol-PW2,Acetaldehyde,0.432235294117647,0.589639777442557,1070.212684700541,430.1275546835929,2.5735851881560317,632.7032027140158
7,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,34807.33512697756,174036675.63488778,261055.01345233165,28.605216864580388,95.26033270938422,296.5993223322216,258.08843959923513,13.248210369269122,339.6776882467353,567.9359723007258,228.2582840539905,1.998104048510207,2-3-Butanediol,Acetaldehyde,0.427209302325582,0.873966455781552,722.0414067937147,290.19456517783954,2.2074403671434735,346.7765443793242
8,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,55448.395403701565,277241977.01850784,415862.9655277618,45.56836567722654,151.75055990609985,296.5993223322216,258.08843959923513,13.248210369269122,339.6776882467352,567.9359723007258,228.25828405399056,1.9981040485102068,2-Methyl-1-Butanol,Acetaldehyde,0.274179104477612,0.548626215324069,1150.2184029800299,462.2825314057106,2.901078116891436,657.0351231084858
9,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,23770.87814444572,118854390.7222286,178281.5860833429,19.53528248867205,65.05587838234362,296.59932233222156,258.08843959923513,13.248210369269119,339.6776882467352,567.9359723007258,228.25828405399056,1.998104048510207,2-Pyrone-4-6-Dicarboxylate,Acetaldehyde,0.309606741573034,1.27973578137387,493.10176241659116,198.18178041663342,1.8653883785477492,175.98573806347378
10,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,57118.08765414071,285590438.27070355,428385.6574060553,46.94054509707253,156.320155329561,296.59932233222156,258.0884395992352,13.248210369269119,339.6776882467353,567.9359723007259,228.25828405399062,1.9981040485102075,3-Methyl-1-Pentanol,Acetaldehyde,0.229625,0.532588617117681,1184.8544053347537,476.20303450741056,3.001294875609129,674.6342764812018
11,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,57275.74406504762,286378720.3252381,429568.08048785717,47.07010962155083,156.75162766439993,296.5993223322216,258.0884395992351,13.248210369269119,339.67768824673516,567.9359723007258,228.25828405399062,1.9981040485102068,4-Hydroxystyrene,Acetaldehyde,0.194734982332156,0.531122621149662,1188.1248210763208,477.5174423310411,3.3484067830396977,618.8956679595722
12,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,39854.55279081437,199272763.95407185,298909.14593110775,32.75309992744931,109.07350261049308,296.59932233222156,258.08843959923513,13.248210369269119,339.6776882467352,567.9359723007258,228.25828405399056,1.998104048510207,5-Aminopentanoate,Acetaldehyde,0.287031250000001,0.763286530294139,826.7406068070558,332.27406163948723,2.169312901398069,457.957413569384
