,Substrate,ParametersType,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,ScalingFactor,CellVoltage,CurrentDensity,FaradaicEfficiency,ElectrodeArea,I,kWh,ActualProductionRate_mass,CO2rate_fed,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass
0,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,100.0,30420.443316125293,152102216.58062646,228153.32487093966,25.0,83.25433535459196,296.59932233222156,258.0884395992351,13.248210369269122,339.6776882467352,567.9359723007257,228.25828405399045,1.998104048510207
1,AceticAcid,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,100.0,17852.55098260945,89262754.91304725,133894.13236957087,25.0,61.073331961160854,174.06237208044217,189.32732907959866,7.774848926029307,249.17919440153625,371.16455008607005,121.9853556845338,1.4657599670678605
2,Ethanol,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,100.0,34907.27684600373,174536384.23001868,261804.576345028,25.0,79.61154342416249,340.3459492485364,246.7957846149037,15.202242198391435,324.81509717058293,602.3439760618315,277.5288788912486,1.9106770421798995
3,EthyleneGlycol,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,100.0,21590.960719763454,107954803.59881727,161932.2053982259,25.0,59.08990430255062,210.51186701769365,183.1787033379069,9.40293955342943,241.0868095544065,403.09350990903005,162.00670035462355,1.4181577032612147
4,FormicAcid,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,100.0,5953.696432713646,29768482.16356823,44652.72324535234,25.0,40.735027614294665,58.048540218958046,126.27858560431348,2.5928557975204445,166.19891266632223,186.91998162079193,20.7210689544697,0.9776406627430719
5,Glycolaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,100.0,17852.55098260945,89262754.91304725,133894.13236957087,25.0,61.073331961160854,174.06237208044217,189.32732907959866,7.774848926029307,249.17919440153625,371.16455008607005,121.9853556845338,1.4657599670678605
6,Methanol,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,100.0,25094.18979376254,125470948.9688127,188206.42345321906,25.0,42.92343948670861,244.6683504891848,133.0626624087967,10.928608172449124,175.12763310577114,388.65962107043055,213.5319879646594,1.0301625476810066
7,CarbonMonoxide,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,100.0,9568.642777720257,47843213.88860129,71764.82083290193,25.0,65.46839130729713,93.29426708277252,202.95201305262108,4.167177682135507,267.1110365337723,300.41345781752915,33.30242128375687,1.5712413913751309
8,CarbonMonoxide_0.5,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,66.66666666666666,14352.964166580388,71764820.83290194,107647.2312493529,25.0,65.46839130729713,135.07088801960396,195.88848265144028,6.033215198122877,257.81451910254077,336.9925858691672,79.17806676662643,1.5712413913751309
9,CarbonMonoxide_1,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,50.0,19137.285555440514,95686427.77720258,143529.64166580385,25.0,65.46839130729713,174.0373318886525,189.3000929080211,7.773730455070208,249.14334808539553,371.11115525174375,121.96780716634825,1.5712413913751309
10,CarbonMonoxide_2,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,33.33333333333333,28705.928333160777,143529641.66580388,215294.4624987058,25.0,65.46839130729713,244.60239247559258,177.3690549365517,10.92566202397941,233.44056262617124,432.8971094361236,199.45654680995239,1.5712413913751309
11,FormicAcid_0.5,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,66.66666666666666,8930.544649070469,44652723.24535234,66979.08486802851,25.0,40.73502761429466,85.16209667427749,123.50754586375601,3.803937795127908,162.55186681423368,212.47358033316144,49.92171351892777,0.9776406627430717
12,FormicAcid_1,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,50.0,11907.392865427291,59536964.32713646,89305.44649070468,25.0,40.735027614294665,111.11125234587124,120.8555093550674,4.963009469799903,159.0614445705403,236.92977117073855,77.86832660019826,0.9776406627430719
13,FormicAcid_2,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1,1.5,500,33.33333333333333,17861.089298140938,89305446.49070469,133958.16973605703,25.0,40.73502761429466,159.80404036087745,115.87904487352756,7.137971617442503,152.51177518838463,282.8210568518475,130.30928166346294,0.9776406627430717
14,CarbonDioxide_2,Categories-Category_2,0.0325,77.5,170,,1812.1301775147926,1,2.0,500,100.0,6090.041596573203,30450207.98286601,60900.41596573202,25.000000000000004,,79.17054075545163,,2.6522345973253225,,,,
15,CarbonDioxide_4,Categories-Category_2,0.0325,77.5,170,,1812.1301775147926,1,2.0,500,100.0,6090.041596573203,30450207.98286601,60900.41596573202,25.000000000000004,,79.17054075545163,,2.6522345973253225,,,,
16,CarbonDioxide_x,Categories-Category_2,0.0325,77.5,170,,1812.1301775147926,1,2.0,500,100.0,6090.041596573203,30450207.98286601,60900.41596573202,25.000000000000004,,79.17054075545163,,2.6522345973253225,,,,
