,Substrate,Formula_S,C_Sn,H_Sn,O_Sn,MW_S,N_electrons,ParametersType,CellVoltage,CurrentDensity,FaradaicEfficiency,EnergyEfficiency,ByProducts,ByP_FE,Xco2,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,PlantLife,StreamFactor,ScalingFactor,ElectrodeArea,I,Power,kWh,emol_curr,MaxProductionRate,ActualProductionRate,ActualProductionRate_mass,CO2rate_fed,CO2rate_conv,Cost_elec_h,Cost_CO2_h,Cost_electrolyzer_h,CT_savings_h,ProductionCost_hNOCT,ProductionCost_h,Cost_elec_mol,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass
0,Acetaldehyde,C2H4O,2,4,1,44.05176,10,Categories-Category_1,2.0,20,60.0,,FormicAcid/CO,40.0,0.32,0.0325,77.5,170,50.0,1812.1301775147926,20,0.95,1,1267518.4715052205,253503694.30104408,507007388.60208815,507007.38860208815,2627.380625444721,945857.0251600996,567514.2150960597,25.0,266.41387313469426,133.20693656734713,16477.740129567865,20647.075167938805,13800.219134655334,22645.17921644901,50925.03443216201,28279.855215712996,0.029034938141203698,659.1096051827145,825.8830067175522,552.0087653862133,905.8071686579605,2037.0013772864804,1131.1942086285198,5.328277462693885
1,AceticAcid,CH3COOH,2,4,2,60.05076,8,Categories-Category_1,4.0,300,70.0,,FormicAcid/CO,30.0,0.325,0.0325,77.5,170,20.0,1812.1301775147926,20,0.95,1,42506.07376811774,127518221.30435324,510072885.21741295,510072.88521741296,1321.6332210463177,594734.949470843,416314.46462959005,25.0,340.26570664075336,68.05314132815067,16577.36876956592,26370.592264658386,462.7886265493636,11569.034025785615,43410.749660773676,31841.71563498806,0.03981934373650794,663.094750782637,1054.8236905863355,18.511545061974545,462.7613610314246,1736.4299864309469,1273.6686253995222,2.7221256531260267
2,Ethanol,C2H5OH,2,6,1,46.067440000000005,12,Categories-Category_1,2.5,200,50.0,,FormicAcid/CO,50.0,0.33333333333333337,0.0325,77.5,170,50.0,1812.1301775147926,20,0.95,1,174536.38423001868,349072768.46003735,872681921.1500933,872681.9211500933,3617.8842728544637,1085365.2818563392,542682.6409281696,25.0,382.1354084359799,191.06770421798996,28362.162437378032,29615.494153788444,1900.2802747989292,32481.509717058292,59877.93686596541,27396.427148907114,0.05226288865416666,1134.4864974951213,1184.6197661515378,76.01121099195717,1299.2603886823317,2395.1174746386164,1095.8570859562847,7.642708168719598
3,EthyleneGlycol,(CH2OH)2,2,6,2,62.06644,10,Categories-Category_1,2.0,20,60.0,,FormicAcid/CO,40.0,0.32,0.0325,77.5,170,50.0,1812.1301775147926,20,0.95,1,899623.3633234778,179924672.66469553,359849345.32939106,359849.3453293911,1864.7878103003936,671323.6117081416,402794.16702488496,25.0,189.08769376816204,94.54384688408102,11695.10372320521,14654.296267032558,9794.728701488995,16072.453970293773,36144.128691726764,20071.67472143299,0.029034938141203708,467.80414892820835,586.1718506813022,391.78914805955975,642.8981588117509,1445.7651476690705,802.8669888573196,3.7817538753632407
4,FormicAcid,CHOOH,1,1,2,45.01654,2,Categories-Category_1,4.0,300,70.0,,CO,30.0,0.5,0.0325,77.5,170,20.0,1812.1301775147926,20,0.95,1,14175.467696937249,42526403.09081175,170105612.363247,170105.612363247,440.75510559607295,793359.1900729313,555351.4330510519,25.0,174.57868977554853,34.915737955109705,5528.432401805528,13529.84845760501,154.3366546143121,5935.6754523686495,19212.61751402485,13276.942061656198,0.009954835934126985,221.13729607222112,541.1939383042004,6.173466184572485,237.427018094746,768.5047005609939,531.0776824662479,1.3966295182043882
5,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,Categories-Category_1,4.0,20,5.0,,FormicAcid/CO,95.0,0.4875,0.0325,77.5,170,50.0,1812.1301775147926,20,0.95,1,8926275.491304725,1785255098.260945,7141020393.04378,7141020.393043781,18502.865094648445,8326289.292591801,416314.46462959005,25.0,2858.2319357823276,1429.1159678911638,232083.16277392287,221512.9750231304,97185.61157536635,242949.71454149784,550781.7493724197,307832.0348309218,0.5574708123111111,9283.326510956915,8860.519000925215,3887.424463014654,9717.988581659914,22031.269974896786,12313.281393236872,57.164638715646554
6,Methanol,CH3OH,1,4,1,32.04106,6,Categories-Category_1,2.5,200,50.0,,FormicAcid/CO,50.0,0.3125,0.0325,77.5,170,50.0,1812.1301775147926,20,0.95,1,125470.9489688127,250941897.9376254,627354744.8440635,627354.7448440635,2600.82947734355,1560497.68640613,780248.843203065,25.0,257.5406369202517,128.77031846012585,20389.029207432064,19959.399361319505,1366.0760215561406,21890.954138221394,41714.504590307704,19823.55045208631,0.026131444327083333,815.5611682972827,798.3759744527803,54.64304086224563,875.6381655288558,1668.580183612308,792.9420180834522,5.150812738405034
7,CarbonMonoxide,CO,1,0,1,28.009700000000002,2,Categories-Category_1,4.0,300,70.0,,FormicAcid,30.0,0.5,0.0325,77.5,170,20.0,1812.1301775147926,20,0.95,1,22782.48280409585,68347448.41228755,273389793.6491502,273389.7936491502,708.371379960151,1275068.4839282718,892547.9387497902,25.0,280.57881988841615,56.11576397768323,8885.16829359738,21744.858541352252,248.04629060330402,9539.67987620615,30878.073125552935,21338.393249346787,0.009954835934126983,355.40673174389525,869.7943416540901,9.921851624132161,381.587195048246,1235.1229250221174,853.5357299738714,2.2446305591073292
8,CarbonMonoxide_0.5,CO,1,0,1,28.009700000000002,2,Categories-Category_1,4.0,300,66.66666666666666,,Hydrogen,33.33333333333334,0.33333333333333326,0.0325,77.5,170,20.0,1812.1301775147926,20,0.95,1,23921.60694430065,71764820.83290194,287059283.33160776,287059.28333160776,743.7899489581587,1338821.9081246855,892547.9387497902,25.0,196.40517392189133,39.28103478437827,9329.426708277253,15221.400978946578,260.4486051334693,6677.775913344306,24811.2762923573,18133.500379012992,0.010452577730833336,360.1890347189439,587.6654479543207,10.05535866353813,257.81451910254077,957.9098413368029,700.095322234262,1.5712413913751309
9,CarbonMonoxide_1,CO,1,0,1,28.009700000000002,2,Categories-Category_1,4.0,300,50.0,,Hydrogen,50.0,0.25,0.0325,77.5,170,20.0,1812.1301775147926,20,0.95,1,31895.475925734194,95686427.77720258,382745711.1088103,382745.7111088103,991.7199319442113,1785095.8774995804,892547.9387497902,25.0,196.40517392189133,39.28103478437827,12439.235611036336,15221.400978946578,347.26480684462564,6677.775913344306,28007.90139682754,21330.125483483233,0.01393677030777778,464.0995517030733,567.9002787240632,12.956217425117016,249.14334808539553,1044.9560478522533,795.8126997668579,1.5712413913751309
