BioProduct,SubstratePathway,Cost + sep,,,BioproductionCost_mass2,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-Butanediol-PW1,Acetaldehyde,1734.285394,,,1452.234112,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-Butanediol-PW2,Acetaldehyde,1704.442989,,,1422.391707,,,,,,,,,,,,,,,,,,,,,,,,,,
1-3-Diaminopropane,Acetaldehyde,1847.766552,,,1565.71527,,,Sum of Cost + sep,Column Labels,,,,,,,,,,,,,,,,,,,,,,
1-3-Propanediol,Acetaldehyde,1796.270388,,,1514.219106,,,Row Labels,Acetaldehyde,Acetate,CarbonDioxide_4,CO_1:H2_0,CO_1:H2_0.5,CO_1:H2_1,CO_1:H2_2,EG_Glycolate,EG_SACA,Ethanol,FOR_1:H2_0,FOR_1:H2_0.5,FOR_1:H2_1,FOR_1:H2_2,Formate_Formolase,Formate_RGP-Serine,Formate_SerineCycle,Glycolaldehyde_Glycolate,Glycolaldehyde_SACA,Methanol_Formolase,Methanol_RuMP,Methanol_SerineCycle,Grand Total
1-4-Butanediol,Acetaldehyde,1881.938784,,,1599.887502,,,1-3-Butanediol-PW1,1734.285394,3541.851107,1458.080679,4105.599597,2371.33718,1990.567044,1737.391557,2250.708368,1734.284489,1488.116517,4178.560609,2420.646828,2038.800475,1796.316049,7735.583429,10736.28818,23614.98857,33986.97566,27072.38327,1655.496482,1655.496482,2228.401348,141532.1593
1-Propanol-PW1,Acetaldehyde,2430.026742,,,2147.97546,,,1-3-Butanediol-PW2,1704.442989,3541.851107,1458.080679,4105.599597,2371.33718,1990.567044,1737.391557,2214.188729,1704.442099,1465.824555,4178.531798,2420.630996,2038.786887,1796.316049,7735.583429,10574.08792,23582.54852,33986.97566,27072.38327,1628.847648,1628.847648,2183.726245,141120.9916
1-Propanol-PW2,Acetaldehyde,2616.237622,,,2334.18634,,,1-3-Diaminopropane,1847.766552,3707.219762,2874.541228,5216.023858,3233.233728,2815.137154,2706.158004,2034.643859,1847.765608,1590.218611,5311.36779,3304.810709,2889.258264,2800.124744,7506.520659,10834.19239,22045.88637,30485.23866,27325.94036,1508.531515,1508.531515,2287.441605,145680.5529
2-3-Butanediol,Acetaldehyde,1776.769068,,,1494.717786,,,1-3-Propanediol,1796.270388,3695.679425,1292.637823,3566.460104,2072.683122,1744.713342,1567.858124,1880.617402,1796.26947,1508.376419,3629.278996,2115.1415,1786.246671,1622.527959,7094.745608,8727.587416,21598.22284,29304.26732,26936.90983,1329.887256,1329.887256,2024.123061,128420.3913
2-Methyl-1-Butanol,Acetaldehyde,2767.767045,,,2485.715763,,,1-4-Butanediol,1881.938784,3910.249056,3625.002912,6613.515112,4068.480782,3531.82785,3365.806092,2039.190907,1881.937804,1574.507218,6735.894974,4160.354284,3626.966902,3480.956474,8384.384456,11222.88895,23744.74877,31543.72533,28728.71914,1541.954689,1541.954689,2250.738899,159455.7441
2-Pyrone-4-6-Dicarboxylate,Acetaldehyde,1241.997391,,,959.9461094,,,1-Propanol-PW1,2430.026742,5018.850976,3606.117362,6713.52802,4152.997603,3613.077124,3268.888836,2567.080348,2430.025463,2044.146774,6836.653022,4245.430499,3708.795453,3372.018352,10246.34692,12922.01193,31165.18242,41671.26037,37205.33382,1876.661606,1876.661606,2856.402841,193827.4981
3-Methyl-1-Pentanol,Acetaldehyde,2840.432425,,,2558.381143,,,1-Propanol-PW2,2616.237622,5322.395473,2276.49093,5007.421677,2879.51708,2426.558121,2074.153814,2873.186281,2616.236248,2211.961193,5096.908,2939.999586,2486.156326,2136.031524,10976.07374,15597.67693,31797.61233,44256.41647,39695.9338,2111.368503,2111.368503,3191.386082,192701.0902
4-Hydroxystyrene,Acetaldehyde,2789.893303,,,2507.842021,,,2-3-Butanediol,1776.769068,3602.535151,1458.080679,4105.599597,2371.33718,1990.567044,1737.391557,2252.520473,1776.768141,1510.40848,4178.531798,2420.630996,2038.786887,1796.316049,7735.583429,10574.08792,23647.42862,33986.97566,27130.33196,1670.231926,1670.231926,2273.076451,141704.191
5-Aminopentanoate,Acetaldehyde,2054.406499,,,1772.355216,,,2-Methyl-1-Butanol,2767.767045,5676.228705,2548.229149,5651.243484,3233.416347,2718.74268,2318.324026,3073.106564,2767.765568,2327.231043,5752.92213,3302.139469,2786.461016,2388.632444,11797.42977,16689.41813,34963.89665,47789.77443,42619.42413,2255.96836,2255.96836,3420.302285,209104.3918
Acetone,Acetaldehyde,2004.442693,,,1722.391411,,,2-Pyrone-4-6-Dicarboxylate,1241.997391,2531.871966,,,,,,1434.103641,1241.996759,1053.138407,,,,,4811.097854,6697.627171,13762.07738,20005.25894,18433.65875,1063.805593,1063.805593,1538.516837,74878.95629
Acrylate-PW1,Acetaldehyde,1717.36488,,,1435.313598,,,3-Methyl-1-Pentanol,2840.432425,5836.475265,3097.35969,5907.105596,3690.734342,3223.38421,2811.744939,3369.830205,2840.430904,2406.560203,6013.681451,3770.743395,3306.237103,2899.090192,12027.05117,17082.00857,35537.37193,50314.74209,43892.12429,2475.252102,2475.252102,3605.835504,219423.4477
Acrylate-PW2,Acetaldehyde,1340.182652,,,1058.13137,,,4-Hydroxystyrene,2789.893303,5794.205772,7100.019273,12810.16939,7711.554048,6636.446006,6708.164962,3130.713513,2789.891778,2334.839065,13055.34009,7895.609579,6827.043603,6962.578339,11220.10628,16025.75335,32839.435,46310.66816,43954.89538,2276.275874,2276.275874,3447.595396,250897.474
Adipate,Acetaldehyde,1852.252073,,,1570.200791,,,5-Aminopentanoate,2054.406499,4144.916745,,,,,,2297.67727,2054.405437,1741.50455,,,,,8447.79779,11941.65552,24669.28009,34459.12397,30698.51711,1707.191804,1707.191804,2540.355983,128464.0246
Benzoate-PW1,Acetaldehyde,2420.734923,,,2138.683641,,,Acetone,2004.442693,3682.695672,1606.1016,4585.218176,2628.101385,2198.401924,1966.689746,2700.609671,2004.441623,1815.342938,4667.522234,2683.729503,2252.818063,2038.317073,8075.327976,11347.22418,25340.87257,39794.87835,28703.68153,1983.797688,1983.797688,2495.157104,156559.1694
Benzoate-PW2,Acetaldehyde,2420.734923,,,2138.683641,,,Acrylate-PW1,1717.36488,3467.578904,5017.711845,8852.026965,5338.072546,4597.110463,4841.47543,1834.538281,1717.363992,1452.265189,9020.998067,5464.923211,4728.469905,5031.909538,6652.156209,9223.692568,18193.21139,27410.56094,25698.74653,1364.235675,1364.235675,2062.67875,155051.327
BenzylAlcohol,Acetaldehyde,3102.220834,,,2820.169552,,,Acrylate-PW2,1340.182652,2713.427501,2093.919056,3670.181203,2280.94341,1988.004912,2214.303198,1603.347058,1340.181955,1132.181355,3736.983732,2331.093673,2039.937714,2314.026312,5829.264575,7783.632207,16917.72935,23513.45625,20156.34364,1189.321495,1189.321495,1666.040385,109043.8231
BetaCarotene,Acetaldehyde,3103.397844,,,2821.346562,,,Adipate,1852.252073,3781.068936,,,,,,2019.744359,1852.251118,1567.401762,,,,,7425.159175,10366.42184,21705.49654,29424.06362,27660.83578,1493.944991,1493.944991,2242.632395,112885.2176
Butane,Acetaldehyde,3456.013656,,,3173.962373,,,Benzoate-PW1,2420.734923,4990.391256,7224.103714,12882.44661,7728.560624,6641.798064,6876.761335,2538.328352,2420.733619,2031.516752,13130.27504,7914.611376,6834.4618,7143.191531,9384.356775,13367.21888,26691.70301,39285.59522,37630.09126,1849.648476,1849.648476,2902.407649,223738.5847
Butanol-PW1,Acetaldehyde,2230.256729,,,1948.205447,,,Benzoate-PW2,2420.734923,4990.391256,7751.894622,13817.85184,8280.420854,7112.782941,7351.007534,2538.328352,2420.733619,2031.516752,14084.12332,8480.317244,7319.784443,7633.812501,9384.356775,13367.21888,26691.70301,39285.59522,37630.09126,1849.648476,1849.648476,2902.407649,229194.37
Butanol-PW2,Acetaldehyde,2696.520105,,,2414.468823,,,BenzylAlcohol,3102.220834,6404.836169,,,,,,3489.612755,3102.219157,2601.983551,,,,,12504.18005,17708.4139,36497.72576,51075.47377,48354.56011,2546.99089,2546.99089,3831.147389,193766.3552
Butyrate,Acetaldehyde,1553.477929,,,1271.426647,,,BetaCarotene,3103.397844,6650.670198,,,,,,3751.209657,3103.39613,2654.392098,,,,,14427.27611,19491.5253,41229.67882,59306.04826,50055.20944,2722.324387,2722.324387,4074.165295,213291.6179
Catechol,Acetaldehyde,2059.133437,,,1777.082155,,,Butane,3456.013656,7192.949024,4996.89991,9497.016229,5850.550223,5081.646382,4482.017052,4057.79731,3456.011784,2942.598754,9672.359249,5982.184439,5217.959402,4627.033455,15485.76415,21395.96384,45539.75834,62095.78893,53972.19381,2962.008209,2962.008209,4408.271376,285334.7937
ciscisMuconate,Acetaldehyde,1706.132506,,,1424.081224,,,Butanol-PW1,2230.256729,4637.413447,1851.63413,5390.25045,3089.95236,2584.904907,2079.857158,2786.653311,2230.255536,1830.519141,5486.986562,3155.334894,2648.86294,2141.931793,10231.89576,13978.91466,31412.41312,45024.43245,36237.37254,2032.960099,2032.960099,2784.320868,185880.0829
Citrate,Acetaldehyde,875.4373552,,,593.3860731,,,Butanol-PW2,2696.520105,5506.97185,1851.63413,5390.25045,3089.95236,2584.904907,2079.857158,3186.275627,2696.518675,2308.071529,5486.986562,3155.334894,2648.86294,2141.931793,11415.16488,16148.24139,33147.8745,47481.91889,41244.54367,2340.769984,2340.769984,3436.140673,202379.497
CoumaricAcid,Acetaldehyde,2094.778186,,,1812.726904,,,Butyrate,1553.477929,3178.531243,1380.014605,3847.434624,2216.1008,1857.929397,1763.806423,2092.325657,1553.47711,1391.590024,3916.038294,2262.469025,1903.28739,1832.919744,6987.34608,9672.642504,21756.47641,31955.34898,24692.29898,1537.731851,1537.731851,2018.612771,130907.5917
EthylAcetate,Acetaldehyde,1573.861362,,,1291.810079,,,Catechol,2059.133437,4258.912666,5109.186486,9125.786735,5513.512748,4751.81873,4946.637541,2346.851547,2059.132329,1728.399771,9299.485606,5643.912663,4886.853577,5143.194727,8304.193599,11755.77761,24420.43585,34215.62115,31977.87921,1711.408601,1711.408601,2555.75691,183525.3001
Farnesene,Acetaldehyde,3067.801639,,,2785.750357,,,ciscisMuconate,1706.132506,3467.033423,,,,,,1925.544755,1706.131621,1442.045141,,,,,6691.64049,9404.518352,19358.69328,27239.30647,25595.93729,1420.913427,1420.913427,2097.878611,103476.6888
GammaButyrolactone,Acetaldehyde,1705.860137,,,1423.808854,,,Citrate,875.4373552,1646.737876,1690.675643,2806.349987,1746.975008,1639.500994,1890.681552,1090.100477,875.4369337,772.3925431,2857.290818,1785.217513,1680.824607,1983.431055,3407.25539,4682.723335,9629.992941,14774.78139,11976.57672,826.9445994,826.9445994,1119.862412,70586.13375
Glutamate_L,Acetaldehyde,1065.726908,,,783.6756257,,,CoumaricAcid,2094.778186,4318.972826,5406.454645,9635.881272,5809.924067,5003.172218,5239.870377,2342.879794,2094.777057,1757.886066,9819.855259,5948.037758,5146.195019,5449.386681,8336.1097,11875.13549,24257.24597,34332.285,32570.62847,1711.419378,1711.419378,2579.735411,187442.05
Glutarate,Acetaldehyde,1671.95294,,,1389.901657,,,EthylAcetate,1573.861362,3286.707509,1367.454705,3806.649239,2193.976684,1839.902501,1746.856225,2127.650172,1573.860534,1413.100665,3874.468134,2239.81449,1884.741631,1815.17894,7159.509141,9814.087734,21759.6914,31593.02956,24839.87791,1564.255562,1564.255562,2067.29358,131106.2232
Glycolate,Acetaldehyde,876.6613531,,,594.6100711,,,Farnesene,3067.801639,6400.854606,5682.37154,10550.048,6429.925918,5561.145654,5240.278205,3648.465047,3067.799947,2614.043696,10748.16713,6578.658702,5715.164993,5422.952402,13753.03047,19010.59256,40083.75979,57045.90842,48737.19648,2658.254306,2658.254306,4037.759634,268712.4334
Heptane,Acetaldehyde,3044.762119,,,2762.710837,,,GammaButyrolactone,1705.860137,3405.265386,4097.87002,7316.588213,4450.02848,3845.577819,3961.82733,2180.503245,1705.859238,1497.92296,7454.428862,4553.508766,3952.736206,4116.124788,7235.641561,9867.47713,20870.24777,31474.21485,25651.8631,1615.125442,1615.125442,2226.011565,154799.8083
Hexane,Acetaldehyde,3097.164227,,,2815.112945,,,Glutamate_L,1065.726908,2021.11812,1880.12516,3212.356622,2000.343664,1794.775466,2013.847064,1349.345845,1065.72638,947.1948959,3270.637163,2044.096266,1840.82596,2105.742645,4227.608161,5878.225321,12280.61915,18608.11259,14958.39442,1016.246244,1016.246244,1376.157657,85973.47195
Isobutanol,Acetaldehyde,2046.011105,,,1763.959823,,,Glutarate,1671.95294,3348.451236,,,,,,1927.839767,1671.952088,1436.035102,,,,,6735.973445,9432.559973,19140.27147,27811.2498,24643.28385,1438.92193,1438.92193,2098.896279,102796.3098
Isobutyrate,Acetaldehyde,1696.782611,,,1414.731328,,,Glycolate,876.6613531,1465.2,3224.261847,5654.921995,3410.999059,3132.556415,3693.857495,840.9697509,832.5492716,805.462908,5762.822692,3492.002703,3219.331763,3894.999314,2907.094485,4368.013666,9588.364875,10159.43207,10102.79876,791.7518058,866.7258786,1021.545677,80112.32378
Isoprene,Acetaldehyde,3077.169439,,,2795.118156,,,Heptane,3044.762119,6344.632536,2417.234724,7234.442168,4114.885056,3429.963228,2745.040999,3848.632217,3044.760452,2511.35804,7365.631176,4203.553803,3516.700134,2829.223726,14055.74829,19380.41629,43976.00603,60984.47347,50548.1694,2793.896705,2793.896705,3837.684721,255021.112
Isopropanol,Acetaldehyde,2111.922802,,,1829.87152,,,Hexane,3097.164227,6599.562743,2427.266126,7267.650465,4134.963461,3447.158868,2759.353872,3769.550295,3097.162535,2628.275274,7399.391635,4224.005405,3534.26084,2843.890916,14433.78823,19861.82514,43779.11281,59477.92608,50671.11707,2743.601733,2743.601733,3989.324914,254929.9544
Itaconate,Acetaldehyde,1176.094592,,,894.0433102,,,Isobutanol,2046.011105,4156.235463,1766.34705,4677.92714,2698.398835,2263.77876,1829.158431,2508.024781,2046.010034,1726.381724,4761.173686,2754.663968,2318.818034,1882.576941,8844.419288,12238.63841,27173.20254,38785.23935,31412.82142,1857.23343,1857.23343,2575.618118,162179.9119
Limonene,Acetaldehyde,3063.117739,,,2781.066457,,,Isobutyrate,1696.782611,3454.129044,1380.014605,3847.434624,2216.1008,1857.929397,1763.806423,2212.630518,1696.781718,1483.853329,3916.038294,2262.469025,1903.28739,1832.919744,7323.008133,9001.318398,22159.27088,32006.25026,25775.89234,1637.514352,1637.514352,2203.516753,133268.463
Lysine_L,Acetaldehyde,1667.770554,,,1385.719272,,,Isoprene,3077.169439,6419.584915,5760.573503,10688.64555,6511.694195,5630.930755,5310.546531,3656.157779,3077.167742,2620.636782,10889.49735,6662.478466,5787.074499,5495.646953,13788.7962,19046.35829,40119.52551,57143.88991,48874.84909,2664.001633,2664.001633,4047.610652,269936.8374
Malate_L,Acetaldehyde,865.8860935,,,583.8348115,,,Isopropanol,2111.922802,4112.241849,1734.003346,5007.421677,2879.51708,2412.319893,1945.122432,2865.934545,2111.921684,1914.347743,5096.908,2939.999586,2471.484656,2002.544946,8908.514421,12678.76965,28003.03286,41975.07415,31404.75058,2106.554005,2106.554005,2722.409544,169511.3495
Malonate,Acetaldehyde,809.3211894,,,527.2699074,,,Itaconate,1176.094592,2266.036775,1980.418726,3403.91374,2111.878075,1896.477764,2145.630985,1499.656542,1176.093991,1040.869317,3466.042233,2158.519426,1945.624288,2246.597572,4783.274259,6666.353408,13970.41798,21189.03369,17025.31338,1119.6454,1119.6454,1530.244352,95917.78189
Nonane,Acetaldehyde,3006.591026,,,2724.539744,,,Limonene,3063.117739,6391.489452,5643.270559,10480.74923,6389.041779,5526.253103,5205.144042,3644.618682,3063.116049,2610.747153,10677.50202,6536.74882,5679.21024,5386.605127,13735.14761,18992.7097,40065.87692,57045.90842,48668.37017,2655.380642,2655.380642,4032.834125,268149.2222
Octane,Acetaldehyde,3036.920906,,,2754.869624,,,Lysine_L,1667.770554,3357.509511,2280.580612,4084.978655,2546.502615,2222.09533,2273.62076,1856.727804,1667.769697,1412.959003,4158.957416,2602.040247,2279.606991,2363.629571,6829.27941,9609.88345,19739.22674,27840.97864,24820.52461,1381.385391,1381.385391,2055.857572,128433.27
Pentane,Acetaldehyde,3123.855413,,,2841.804131,,,Malate_L,865.8860935,1626.585485,1626.628601,2691.575694,1680.368158,1577.780751,1817.540683,984.162232,865.8856823,754.1804745,2740.200358,1716.871861,1617.22547,1906.07307,3375.83882,4648.653836,9562.826589,13071.05243,11695.16894,750.3898094,750.3898094,1076.688211,67401.97306
Pentanol-PW1,Acetaldehyde,2528.877791,,,2246.826509,,,Malonate,809.3211894,1523.87414,1810.52495,2984.229999,1846.190502,1749.413278,2008.486236,1009.534274,809.3208103,721.6095113,3038.953471,1887.272727,1794.082851,2106.400708,2927.014528,4001.359093,8126.842219,13221.40364,10910.18021,771.0476469,771.0476469,1028.73051,65856.84015
